"front","back"
"Câu 1: Luật Hành chính Việt Nam điều chỉnh các quan hệ xã hội nào dưới đây?","✅ Đáp án: A. Các quan hệ xã hội phát sinh trong quá trình thực hiện hoạt động chấp hành và điều hành của Nhà nước."
"Câu 2: Phương pháp điều chỉnh của Luật Hành chính là gì?","✅ Đáp án: B. Phương pháp mệnh lệnh – đơn phương dựa trên quan hệ quyền uy và phục tùng trong quản lý nhà nước."
"Câu 3: Nguyên tắc pháp chế xã hội chủ nghĩa trong quản lý hành chính nhà nước đòi hỏi yêu cầu nào dưới đây?","✅ Đáp án: A. Mọi hoạt động quản lý hành chính nhà nước phải được thực hiện phù hợp với Hiến pháp và pháp luật."
"Câu 4: Nội dung nào dưới đây phản ánh nguyên tắc tập trung dân chủ trong quản lý hành chính nhà nước?","✅ Đáp án: D. Bảo đảm sự chỉ đạo tập trung trên cơ sở dân chủ đồng thời bảo đảm mở rộng dân chủ dưới sự lãnh đạo tập trung."
"Câu 5: Quy phạm pháp luật hành chính được hiểu là gì?","✅ Đáp án: A. Là quy tắc xử sự chung do Nhà nước ban hành nhằm điều chỉnh các quan hệ xã hội phát sinh trong quản lý hành chính nhà nước."
"Câu 6: Quan hệ pháp luật hành chính được hiểu là gì?","✅ Đáp án: C. Quan hệ xã hội phát sinh trong lĩnh vực chấp hành và điều hành, được điều chỉnh bởi quy phạm pháp luật hành chính."
"Câu 7: Theo Luật Tổ chức Chính phủ năm 2025, Chính phủ làm việc theo chế độ nào sau đây?","✅ Đáp án: B. Chính phủ làm việc theo chế độ tập thể, quyết định theo đa số."
"Câu 8: Quan hệ pháp luật hành chính có đặc điểm nào dưới đây?","✅ Đáp án: B. Một bên tham gia quan hệ sử dụng quyền lực nhà nước trong hoạt động quản lý hành chính."
"Câu 9: Chủ thể của quan hệ pháp luật hành chính có thể là chủ thể nào dưới đây?","✅ Đáp án: A. Cơ quan hành chính nhà nước, cán bộ, công chức, tổ chức và cá nhân tham gia quan hệ pháp luật hành chính."
"Câu 10: Nguyên tắc bình đẳng giữa các dân tộc trong quản lý hành chính nhà nước thể hiện ở nội dung nào dưới đây?","✅ Đáp án: A. Nhà nước bảo đảm quyền và nghĩa vụ ngang nhau của các dân tộc trong hoạt động quản lý hành chính nhà nước."
"Câu 11: Theo Luật Tổ chức Chính phủ năm 2025, Chính phủ thực hiện nhiệm vụ, quyền hạn của mình theo các căn cứ pháp lý nào sau đây?","✅ Đáp án: D. Chính phủ thực hiện các nhiệm vụ, quyền hạn theo quy định của Hiến pháp, luật, nghị quyết của Quốc hội, pháp lệnh, nghị quyết của Ủy ban Thường vụ Quốc hội."
"Câu 12: UBND xã X ban hành quyết định thu hồi đất của hộ gia đình bà B để thực hiện dự án xây dựng khu đô thị. Bà B cho rằng quyết định thu hồi đất trái pháp luật vì chưa được công khai phương án bồi thường và chưa tổ chức đối thoại theo quy định. Theo pháp luật hiện hành, bà B có quyền nào sau đây?","✅ Đáp án: B. Bà B có quyền khiếu nại quyết định hành chính hoặc khởi kiện vụ án hành chính theo quy định pháp luật."
"Câu 13: Ngày 01/3/2025, anh D nhận được quyết định xử phạt vi phạm hành chính. Đến ngày 30/11/2025, anh D mới nộp đơn khiếu nại mà không chứng minh được có sự kiện bất khả kháng hoặc trở ngại khách quan. Theo quy định pháp luật hiện hành:","✅ Đáp án: C. Anh D đã hết thời hiệu khiếu nại theo quy định của Luật Khiếu nại."
"Câu 14: Quyết định hành chính nhà nước khi được ban hành phải bảo đảm yêu cầu nào dưới đây?","✅ Đáp án: B. Phải bảo đảm tính hợp pháp và tính hợp lý về nội dung, hình thức và thủ tục ban hành quyết định."
"Câu 15: Quyết định hành chính cá biệt có đặc điểm nào dưới đây?","✅ Đáp án: C. Được áp dụng một lần đối với một hoặc một số đối tượng cụ thể trong hoạt động quản lý hành chính nhà nước."
"Câu 16: Ông C là công chức địa chính cấp xã. Trong quá trình giải quyết hồ sơ cấp giấy chứng nhận quyền sử dụng đất, ông C cố tình gây khó khăn cho người dân nhằm nhằm gợi ý đưa tiền để được giải quyết nhanh. Hành vi của ông C vi phạm nguyên tắc nào khi thi hành công vụ?","✅ Đáp án: B. Tuân thủ pháp luật, bảo đảm liêm chính, khách quan và đạo đức công vụ."
"Câu 17: Theo Luật Tổ chức Chính phủ năm 2025, Bộ trưởng có thẩm quyền ban hành loại văn bản nào sau đây?","✅ Đáp án: B. Thông tư để hướng dẫn thực hiện văn bản của cơ quan nhà nước cấp trên theo thẩm quyền."
"Câu 18: Theo Luật Tổ chức chính quyền địa phương năm 2025, Ủy ban nhân dân chịu trách nhiệm trước cơ quan nào sau đây?","✅ Đáp án: B. Hội đồng nhân dân cùng cấp và cơ quan hành chính nhà nước cấp trên theo quy định của pháp luật."
"Câu 19: Theo Luật Tổ chức chính quyền địa phương năm 2025, Ủy ban nhân dân tỉnh có nhiệm vụ, quyền hạn nào sau đây?","✅ Đáp án: C. Tổ chức thi hành Hiến pháp, pháp luật, văn bản của cơ quan nhà nước cấp trên và nghị quyết của Hội đồng nhân dân cùng cấp."
"Câu 20: Quy phạm pháp luật hành chính thường được cấu thành từ những bộ phận nào dưới đây?","✅ Đáp án: A. Giả định, quy định và chế tài nhằm xác định điều kiện áp dụng, cách xử sự và hậu quả pháp lý đối với chủ thể có liên quan."
"Câu 21: Quan hệ pháp luật hành chính phát sinh khi có những điều kiện nào sau đây?","✅ Đáp án: A. Có quy phạm pháp luật hành chính, có chủ thể tham gia quan hệ pháp luật hành chính và có sự kiện pháp lý phát sinh."
"Câu 22: Quy phạm pháp luật hành chính được thực hiện thông qua những hình thức nào dưới đây?","✅ Đáp án: A. Tuân thủ pháp luật, chấp hành pháp luật, sử dụng pháp luật và áp dụng pháp luật."
"Câu 23: Cơ quan hành chính nhà nước cao nhất là cơ quan nào?","✅ Đáp án: B. Chính phủ của nước Cộng hòa xã hội chủ nghĩa Việt Nam."
"Câu 24: Cơ quan hành chính nhà nước ở địa phương là cơ quan nào?","✅ Đáp án: B. Ủy ban nhân dân các cấp thực hiện chức năng quản lý hành chính nhà nước tại địa phương."
"Câu 25: Bộ và cơ quan ngang bộ là cơ quan nào dưới đây?","✅ Đáp án: C. Cơ quan thuộc Chính phủ thực hiện chức năng quản lý nhà nước về ngành, lĩnh vực và dịch vụ công thuộc phạm vi quản lý nhà nước trong cả nước."
"Câu 26: Cơ quan chuyên môn thuộc Ủy ban nhân dân được tổ chức nhằm thực hiện chức năng nhiệm vụ nào dưới đây?","✅ Đáp án: B. Thực hiện chức năng tham mưu, giúp Ủy ban nhân dân quản lý nhà nước về ngành, lĩnh vực ở địa phương."
"Câu 27: Khi thực hiện cơ chế một cửa, một dấu. một cửa liên thông cần đáp ứng nguyên tắc nào sau đây?","✅ Đáp án: C. Lấy sự hài lòng của tổ chức, cá nhân về chất lượng giải quyết thủ tục hành chính làm thước đo chất lượng phục vụ của cơ quan hành chính nhà nước."
"Câu 28: Theo quy định của pháp luật Việt Nam, người nước ngoài và người không quốc tịch cư trú tại Việt Nam có nghĩa vụ nào sau đây?","✅ Đáp án: A. Tuân thủ Hiến pháp và pháp luật Việt Nam trong thời gian cư trú trên lãnh thổ Việt Nam."
"Câu 29: Bộ phận Một cửa có trách nhiệm nào sau đây?","✅ Đáp án: C. Tiếp nhận, số hóa, chuyển xử lý và trả kết quả giải quyết thủ tục hành chính theo quy định pháp luật."
